lon,lat,square,cost,category,street,ward,district,city,date_created,date_modified,url
10.72183,106.72872,70,4000.0,mat-bang-ban-mat-bang-ban-le-3539,Đường C Tân Phú ,Phường Tân Phú,Quận 7,TP.Hồ Chí Minh,18.10.2017,,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/ban-lo-shop-canh-vien-phu-my-hung-70m2-6321711
10.72111,106.72644,4,200,mat-bang-ban-mat-bang-ban-le-3539,Nguyễn Lương Bằng Hồ Chí Minh ,Phường Phú Mỹ,Quận 7,TP.Hồ Chí Minh,12.10.2017,,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/ban-kiot-khu-thuong-mai-sam-uat-200-trieu-kiot-4m2-5813487
10.80612,106.66277,69,Secret,can-ho-ban-chung-cu-cao-cap-3530,Mặt tiền đường Phổ Quang ,Phường 02,Quận Tân Bình,TP.Hồ Chí Minh,17.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/officetel-tien-loi-de-o-va-kinh-doanh-tk-chi-phi-4801391
10.80612,106.66277,140,Secret,can-ho-ban-chung-cu-cao-cap-3530,Đường Phổ Quang ,Phường 02,Quận Tân Bình,TP.Hồ Chí Minh,17.10.2017,09.03.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-goc-skycenter-dt-96-130m23pn-3wc-ck-2-18-4915785
10.80612,106.66277,120,Secret,mat-bang-ban-mat-bang-van-phong-3538,Phường 2  ,Phường 02,Quận Tân Bình,TP.Hồ Chí Minh,17.10.2017,09.03.2017,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-van-phong-3538/chuyen-shophouse-khu-can-ho-hcm-gia-chi-tu-1-8-ty-5367964
10.75170,106.56463,54,790,can-ho-ban-chung-cu-3529, ,Phường Tân Tạo A,Quận Bình Tân,TP.Hồ Chí Minh,10.10.2017,10.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/khu-phuc-hop-can-ho-tecco-town-lon-nhat-binh-tan-g-6220287
0.0,0.0,84,Secret,can-ho-ban-chung-cu-3529, ,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,TP.Hà Nội,22.03.2016,08.03.2016,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/cc-ngoai-giao-doan-chung-cu-no3-25-trieu-m2-4467934
10.72564,106.72489,197,Secret,can-ho-ban-chung-cu-cao-cap-3530,Nguyễn Lương Bằng Hồ Chí Minh ,Phường Tân Phú,Quận 7,TP.Hồ Chí Minh,10.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/ban-gap-can-ho-penthouse-canh-vien-2-197m2-5pn-5428227
10.74422,106.69938,130,Secret,mat-bang-ban-mat-bang-ban-le-3539, ,Phường Tân Hưng,Quận 7,TP.Hồ Chí Minh,12.10.2017,,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/can-ho-tang-tret-1-tret-1-lung-du-an-florita-4721090
10.79609,106.78032,69,Secret,can-ho-ban-chung-cu-cao-cap-3530,Song hành cao tốc ,Phường Phú Hữu,Quận 9,TP.Hồ Chí Minh,17.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-cao-cap-jamila-mo-ban-block-b-dep-nhat-du-a-5750882
10.80612,106.66277,74,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường 02,Quận Tân Bình,TP.Hồ Chí Minh,19.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/sky-center-pho-quang-ban-lai-can-gia-goc-cdt-6041358
10.74422,106.69938,57,Secret,can-ho-ban-chung-cu-cao-cap-3530,Mặt tiền đường D1 ,Phường Tân Hưng,Quận 7,TP.Hồ Chí Minh,17.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-thu-hoi-von-ban-gap-can-ho-florita-kdc-him-lam-4754272
10.72564,106.72489,118,Secret,can-ho-ban-chung-cu-cao-cap-3530,Đường C Tân Phú ,Phường Tân Phú,Quận 7,TP.Hồ Chí Minh,21.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/ban-gap-can-ho-tai-chung-cu-cao-cap-canh-vien-2-ph-6197780
10.79757,106.80281,70,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường Phú Hữu,Quận 9,TP.Hồ Chí Minh,20.10.2017,18.09.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/jamila-khang-dien-mo-ban-block-b-cuoi-cung-3-mat-v-6178595
10.81287,106.71142,65,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường 26,Quận Bình Thạnh,TP.Hồ Chí Minh,19.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-richmond-nguyen-xi-binh-thanh-1-5-ty-can-4810850
21.02804,105.77163,50,Secret,can-ho-ban-chung-cu-3529,18 Phạm Hùng ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,TP.Hà Nội,18.10.2017,18.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/mo-ban-dot-cuoi-chung-cu-flc-my-dinh-1-3-ty-can-5402675
10.72743,106.70138,74,Secret,can-ho-ban-chung-cu-cao-cap-3530,Nguyễn Văn Linh Tân Phong ,Phường Tân Phong,Quận 7,TP.Hồ Chí Minh,21.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/chinh-thuc-giu-cho-can-ho-lavida-tt-30-nhan-nha-ck-6206159
0.0,0.0,66,Secret,can-ho-ban-chung-cu-3529,"79 Bình Thạnh, Hồ Chí Minh, Việt Nam ",Phường 26,Quận Bình Thạnh,TP.Hồ Chí Minh,22.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-cc-richmond-city-binh-thanh-1-5-ty-can-4848128
10.82113,106.76501,68,Secret,can-ho-ban-chung-cu-3529, ,Phường Phước Long A,Quận 9,TP.Hồ Chí Minh,20.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-jamila-khang-dien-lien-ke-venica-quan-9-5598390
10.74422,106.69938,110,3000.0,mat-bang-ban-mat-bang-ban-le-3539,Đường số 3B ,Phường Tân Hưng,Quận 7,TP.Hồ Chí Minh,12.10.2017,,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/shop-house-4-mat-tien-duong-trung-tam-quan-7-gia-3-4114233
